trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-73.18454235701162,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-85.33570635371443,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-96.14637798055588,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9605960100000001}",20,3,-94.236727474801,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9509900499}",20,0,-96.3980735316369,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",35,0,-81.33502198942182,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.93206534790699}",25,0,-166.68091736302523,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279202}",25,0,-45.5621621005538,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836409}",20,0,-101.4191390673652,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088045}",20,0,-86.7611207618888,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587165}",20,6,-38.82522820763155,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161293}",25,0,-69.65251104639017,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989681}",30,0,-142.49199308198206,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689783}",20,0,-190.02744517786957,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412885}",20,4,-2.3973679603281717,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948756}",25,0,-94.12122880296985,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839269}",20,0,-90.46711767779954,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500876}",20,0,-88.04690416109071,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355868}",20,0,-76.0278401019432,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972309}",20,2,-28.601847394588933,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212585}",20,0,-205.19170512171135,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.801630589539046}",25,0,-107.30464210213367,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436555}",30,0,-125.41870781878723,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.785678140807219}",20,0,-75.01429215932926,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991468}",20,0,-113.00683490333529,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051553}",25,0,-139.90835450968103,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471038}",20,4,-32.91086371130878,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036327}",25,0,-20.73571145064647,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315964}",25,0,-83.89697209861299,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882804}",30,16,-20.40491860023047,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543976}",20,0,-83.34708183524239,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578536}",30,5,-63.56146314565566,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.717730532598275}",20,0,-54.67968282142204,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722923}",20,0,-41.2992154931902,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995694}",25,0,-70.52603811992019,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495737}",20,0,-88.95023948410551,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690779}",30,0,-110.56814751124452,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6825545950103872}",25,0,-129.14544709510074,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602833}",25,6,-111.72371959563381,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696805}",25,0,-82.66376634738548,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839837}",25,0,-32.596244173689556,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741438}",20,0,9.503971159391266,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684024}",20,0,-126.32759036249946,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847183}",20,0,-11.547199771048438,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638712}",25,0,-29.192552398892833,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032325}",20,0,-137.72622495813187,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912002}",30,0,-71.45550313694116,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6172901409422882}",20,0,-55.62227016185569,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328653}",25,0,-121.10643345663433,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375367}",30,0,-161.2762765543245,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661613}",25,11,-15.115094398749989,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014998}",25,7,-57.20312951924467,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374848}",20,0,18.346455484336296,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181099}",30,0,-55.211784135917554,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769288}",30,2,-110.12254520509842,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 3}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771595}",25,0,-74.24022039309503,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.563905190452388}",35,0,-211.68026052923133,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478641}",25,7,-62.08628010183221,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623854}",25,0,13.210528499350472,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907616}",25,0,-137.55485175217544,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668539}",30,0,-157.78718216755928,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.5362682252071853}",35,17,-17.85190778204283,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551135}",20,0,-29.33890113559596,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5255964875255623}",30,1,-79.37667579271428,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503067}",30,0,-115.83245647836034,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238036}",20,0,-46.60535792111189,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495656}",30,0,-78.55175895711378,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.50488588878707}",20,0,-12.14122109183591,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.49983702989919926}",20,12,3.788094789667843,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.4948386596002073}",20,6,-47.28554554821018,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.48989027300420523}",25,0,25.016747829856865,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416317}",30,0,-84.41472722998202,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.48014145657142154}",25,6,-75.78706317314234,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570734}",30,13,-57.04594758553167,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856503}",20,0,-63.156002847462446,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979376}",20,0,-30.232662298051036,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809585}",30,12,-49.01619386826418,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439149}",25,0,-19.944254464859902,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647575}",25,0,2.8359340280592993,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.447523213763811}",25,0,-26.386555105324483,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617287}",35,5,11.390139949950637,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991116}",20,1,-28.224832686884263,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181203}",20,4,6.601889957802218,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238939}",20,7,-18.060977931639844,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.425590123388655}",25,1,-50.43852390546848,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.42133422215476846}",20,0,0.8019949792971744,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.4171208799332208}",20,0,-23.509911856815265,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4129496711338886}",25,0,-66.13245070940667,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4088201744225497}",30,0,-7.662411695883017,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783242}",25,11,-63.54842392051552,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
91,False,"{'a': 0.5, 'e': 0.400684652951541}",30,0,-25.103897184309208,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220256}",30,4,20.98807768737133,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780536}",25,14,-28.987431891583842,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742273}",20,0,-18.69778998130072,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.38489607889348504}",20,0,-3.791553680891945,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.38104711810455016}",25,0,-22.93956283879178,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350467}",20,16,7.6029422582144,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.3734642804542696}",20,4,-47.289865491286484,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.3697296376497269}",25,16,-4.610587170029631,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732296}",20,4,-26.513258034600675,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604973}",35,0,-87.3231474510646,"{0: 27, 1: 4, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818923}",20,0,-87.6365526000925,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.3551608147050734}",25,7,-54.918612710040705,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802264}",25,17,-7.116870621208348,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3480931144924424}",30,0,23.456029034697316,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.344612183347518}",30,16,-11.830351563192986,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3411660615140428}",20,0,-71.88293360442111,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.33775440089890235}",20,5,-64.40566640929273,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.3343768568899133}",20,0,-5.375138276581688,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.3310330883210142}",30,7,-155.49782618832492,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 4}",1
111,False,"{'a': 0.5, 'e': 0.32772275743780405}",20,0,17.564967382673487,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.324445529863426}",20,0,-22.908892778776018,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.32120107456479174}",20,1,21.84645485827973,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191438}",20,8,19.758315823148564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095236}",20,8,-14.376305561492718,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31166108144914284}",20,7,9.179943589404196,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3085444706346514}",30,7,2.8577907330344052,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283049}",20,0,-29.369557903603493,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.3024044356690218}",25,13,-84.66975890977636,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123316}",20,3,14.056150038103876,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.29638658739920826}",35,21,13.501184812494039,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252162}",30,0,15.57242884310963,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.29048849430996404}",20,6,-24.727408802642223,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668644}",20,9,17.667021728818465,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319574}",25,9,-5.647147626937378,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404638}",20,0,-32.32150546997293,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505913}",25,13,24.93653015982496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27625166769920856}",20,5,25.695431213522824,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222165}",20,12,13.795243044512853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199433}",30,11,12.592068590385308,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168744}",35,19,17.663661536688448,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477056}",25,0,-18.711536428651243,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.26271258725022856}",25,15,-24.493878478118283,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772626}",20,2,-10.514830276398657,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.257484606763949}",30,0,42.23686554833576,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.25490976069630955}",20,0,-42.24207439113585,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.25236066308934646}",25,3,12.39406245491967,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.249837056458453}",30,0,-7.731587261726052,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",1
