trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-102.34218262876391,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9989596680099304}",20,0,-114.32511371519222,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9989177111127264}",20,0,-125.95012276678096,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9988740639886535}",20,0,-119.28456823661232,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9988286587041157}",30,0,-192.1241753781812,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9987814246080399}",20,2,-78.68071149549426,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9987322882242344}",30,0,-124.47944769859124,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9986811731395707}",20,0,-111.46870481187761,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9986279998878347}",30,0,-147.04514098589064,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9985726858290866}",35,0,-91.30477864816613,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9985151450243659}",20,9,-69.30548981729123,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9984552881055689}",25,0,-90.67335332137354,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9983930221403242}",20,0,-137.84464575428171,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.998328250491685}",25,0,-134.9437248096539,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9982608726724495}",20,0,-92.01419736505063,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9981907841939169}",30,0,-136.50003499884548,"{0: 16, 1: 9, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9981178764088832}",25,0,-146.40673455849858,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
