trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-249.28071204847967,"{0: 10, 1: 3, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-68.71777033634613,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-125.0479547750227,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9605960100000001}",20,0,-134.20036454574648,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900499}",20,0,-134.5161631154781,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-80.34065700845453,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.93206534790699}",20,0,-143.73473418075372,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279202}",20,0,-85.91821546880583,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836409}",30,5,-118.48046038308361,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088045}",35,0,-284.2004045855168,"{0: 18, 1: 2, 2: 8, 3: 3, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587165}",25,0,-150.3758771162303,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161293}",20,0,-73.86434366841664,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989681}",20,0,-97.99165404853154,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689783}",25,0,-218.267292862082,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412885}",30,5,-124.843515955746,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948756}",25,0,-97.33758157210323,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839269}",20,0,-86.68137880505651,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500876}",20,0,-141.80793262525296,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355868}",30,0,-187.76539103896334,"{0: 14, 1: 8, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972309}",20,0,-95.31435335211363,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-84.88480067637134,"{0: 23, 1: 4, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,14,-14.084303229391574,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-85.37909466182194,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-173.5965514106876,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-104.74904066736657,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,8,-81.3475630346782,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-92.28280830120357,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-165.08448142698492,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",30,0,-242.27317592555013,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",25,0,-53.66448453781912,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
